step,zdrowi,odporni,chorzy - faza 1,chorzy - faza 2,cała populacja,chorzy ogółem
0,385,95,48,55,488,103
1,389,44,78,48,515,126
2,369,37,87,77,533,164
3,334,58,95,83,512,178
4,282,59,87,87,456,174
5,238,62,70,77,385,147
6,183,49,52,58,293,110
7,140,38,38,42,220,80
8,123,32,32,34,189,66
9,103,24,25,28,156,53
10,89,22,19,22,130,41
11,76,17,12,16,104,28
12,68,13,8,10,86,18
13,53,8,6,7,66,13
14,45,6,2,5,52,7
15,37,4,0,1,38,1
16,26,1,0,0,26,0
