step,zdrowi,odporni,chorzy - faza 1,chorzy - faza 2,cała populacja,chorzy ogółem
0,385,95,48,55,488,103
1,390,45,78,48,516,126
2,375,36,88,77,540,165
3,341,58,97,84,522,181
4,290,60,86,89,465,175
5,245,62,72,76,393,148
6,191,53,55,59,305,114
7,145,38,41,46,232,87
8,131,35,34,37,202,71
9,109,28,26,28,163,54
10,92,21,18,22,132,40
11,79,18,13,15,107,28
12,66,11,8,11,85,19
13,56,9,6,7,69,13
14,47,6,2,5,54,7
15,38,4,0,1,39,1
16,28,1,0,0,28,0
